VAE KL,Epoch Train Time,SVI KL,VAE PPL,AR PPL,VAE NLL,Epoch,Mode,VAE REC,SVI NLL,AR NLL,SVI REC,SVI PPL,LR
tensor(4.3708),25.710845470428467,tensor(0.),tensor(113.5284),tensor(1.),tensor(103.7126),24,Test,tensor(99.3418),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0007938926261462366
tensor(3.8699),25.50985598564148,tensor(0.),tensor(119.2402),tensor(1.),tensor(104.6460),25,Val,tensor(100.7761),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(3.7989),25.50985598564148,tensor(0.),tensor(112.9013),tensor(1.),tensor(103.5912),25,Test,tensor(99.7923),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0006545084971874737
tensor(3.5130),26.056222200393677,tensor(0.),tensor(117.1710),tensor(1.),tensor(104.2628),26,Val,tensor(100.7498),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(3.4575),26.056222200393677,tensor(0.),tensor(110.9679),tensor(1.),tensor(103.2126),26,Test,tensor(99.7551),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0005
tensor(3.5625),26.09893488883972,tensor(0.),tensor(117.3337),tensor(1.),tensor(104.2932),27,Val,tensor(100.7306),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(3.4953),26.09893488883972,tensor(0.),tensor(110.3789),tensor(1.),tensor(103.0960),27,Test,tensor(99.6007),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00034549150281252633
tensor(3.4634),25.81576919555664,tensor(0.),tensor(116.3125),tensor(1.),tensor(104.1019),28,Val,tensor(100.6384),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(3.3994),25.81576919555664,tensor(0.),tensor(109.7787),tensor(1.),tensor(102.9765),28,Test,tensor(99.5771),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.00020610737385376348
tensor(3.5184),26.100595474243164,tensor(0.),tensor(116.4419),tensor(1.),tensor(104.1262),29,Val,tensor(100.6078),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(3.4548),26.100595474243164,tensor(0.),tensor(109.6011),tensor(1.),tensor(102.9410),29,Test,tensor(99.4862),tensor(0.),tensor(0.),tensor(0.),tensor(1.),9.549150281252633e-05
tensor(3.5017),25.883406162261963,tensor(0.),tensor(116.4108),tensor(1.),tensor(104.1203),30,Val,tensor(100.6187),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(3.4387),25.883406162261963,tensor(0.),tensor(109.7504),tensor(1.),tensor(102.9708),30,Test,tensor(99.5321),tensor(0.),tensor(0.),tensor(0.),tensor(1.),2.4471741852423235e-05
tensor(8.8925),26.22925877571106,tensor(0.),tensor(134.5722),tensor(1.),tensor(107.2935),31,Val,tensor(98.4010),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(8.8043),26.22925877571106,tensor(0.),tensor(126.7693),tensor(1.),tensor(106.1304),31,Test,tensor(97.3261),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001
tensor(6.8507),25.875007390975952,tensor(0.),tensor(124.7548),tensor(1.),tensor(105.6355),32,Val,tensor(98.7848),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(6.7666),25.875007390975952,tensor(0.),tensor(117.4334),tensor(1.),tensor(104.4538),32,Test,tensor(97.6872),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009755282581475768
tensor(5.4871),25.824533224105835,tensor(0.),tensor(120.7143),tensor(1.),tensor(104.9149),33,Val,tensor(99.4278),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
tensor(5.4094),25.824533224105835,tensor(0.),tensor(113.7272),tensor(1.),tensor(103.7509),33,Test,tensor(98.3416),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.0009045084971874737
