Epoch Train Time,Mode,VAE REC,VAE NLL,Epoch,AR PPL,SVI KL,VAE KL,AR NLL,SVI NLL,SVI REC,SVI PPL,LR,VAE PPL
21.49659013748169,Test,tensor(100.7641),tensor(102.5011),35,tensor(1.),tensor(0.),tensor(1.7370),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.4230)
21.969273328781128,Val,tensor(102.1871),tensor(103.9133),36,tensor(1.),tensor(0.),tensor(1.7261),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.3147)
21.969273328781128,Test,tensor(100.8240),tensor(102.5223),36,tensor(1.),tensor(0.),tensor(1.6983),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.5270)
25.674514532089233,Val,tensor(102.2943),tensor(103.9503),37,tensor(1.),tensor(0.),tensor(1.6560),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.5097)
25.674514532089233,Test,tensor(100.8736),tensor(102.5183),37,tensor(1.),tensor(0.),tensor(1.6447),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.5075)
24.159765481948853,Val,tensor(102.3140),tensor(104.0175),38,tensor(1.),tensor(0.),tensor(1.7035),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.8650)
24.159765481948853,Test,tensor(100.8969),tensor(102.5797),38,tensor(1.),tensor(0.),tensor(1.6829),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(107.8093)
25.845597505569458,Val,tensor(102.4129),tensor(104.0631),39,tensor(1.),tensor(0.),tensor(1.6501),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(116.1066)
25.845597505569458,Test,tensor(101.0542),tensor(102.6914),39,tensor(1.),tensor(0.),tensor(1.6373),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(108.3601)
25.806408166885376,Val,tensor(102.3859),tensor(103.9855),40,tensor(1.),tensor(0.),tensor(1.5995),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(115.6956)
25.806408166885376,Test,tensor(101.0624),tensor(102.6423),40,tensor(1.),tensor(0.),tensor(1.5799),tensor(0.),tensor(0.),tensor(0.),tensor(1.),0.001,tensor(108.1176)
