SVI KL,Mode,VAE PPL,LR,AR PPL,SVI PPL,AR NLL,SVI NLL,SVI REC,VAE REC,VAE KL,Epoch Train Time,Epoch,VAE NLL
tensor(0.),Val,tensor(120.4644),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.9297),tensor(2.9398),25.55977988243103,19,tensor(104.8695)
tensor(0.),Test,tensor(113.5825),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.8322),tensor(2.8909),25.55977988243103,19,tensor(103.7231)
tensor(0.),Val,tensor(120.3290),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(101.9136),tensor(2.9313),25.801681756973267,20,tensor(104.8449)
tensor(0.),Test,tensor(113.8387),2.4471741852423235e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.8901),tensor(2.8823),25.801681756973267,20,tensor(103.7724)
tensor(0.),Val,tensor(136.7686),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.2256),tensor(8.4222),25.833121299743652,21,tensor(107.6478)
tensor(0.),Test,tensor(129.7892),0.001,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(98.3342),tensor(8.3122),25.833121299743652,21,tensor(106.6464)
tensor(0.),Val,tensor(129.6743),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.8727),tensor(6.6093),25.794071197509766,22,tensor(106.4820)
tensor(0.),Test,tensor(122.8513),0.0009755282581475768,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(98.8876),tensor(6.5547),25.794071197509766,22,tensor(105.4423)
tensor(0.),Val,tensor(123.5044),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.0835),tensor(5.3316),25.79367733001709,23,tensor(105.4150)
tensor(0.),Test,tensor(116.9284),0.0009045084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.1064),tensor(5.2530),25.79367733001709,23,tensor(104.3594)
tensor(0.),Val,tensor(119.9709),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.3384),tensor(4.4413),25.828951120376587,24,tensor(104.7797)
tensor(0.),Test,tensor(113.5284),0.0007938926261462366,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.3418),tensor(4.3708),25.828951120376587,24,tensor(103.7126)
tensor(0.),Val,tensor(119.2402),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.7761),tensor(3.8699),24.223929166793823,25,tensor(104.6460)
tensor(0.),Test,tensor(112.9013),0.0006545084971874737,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.7923),tensor(3.7989),24.223929166793823,25,tensor(103.5912)
tensor(0.),Val,tensor(117.1710),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.7498),tensor(3.5130),25.889328956604004,26,tensor(104.2628)
tensor(0.),Test,tensor(110.9679),0.0005,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.7551),tensor(3.4575),25.889328956604004,26,tensor(103.2126)
tensor(0.),Val,tensor(117.3337),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.7306),tensor(3.5625),25.91804814338684,27,tensor(104.2932)
tensor(0.),Test,tensor(110.3789),0.00034549150281252633,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.6007),tensor(3.4953),25.91804814338684,27,tensor(103.0960)
tensor(0.),Val,tensor(116.3125),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.6384),tensor(3.4634),25.995721578598022,28,tensor(104.1019)
tensor(0.),Test,tensor(109.7787),0.00020610737385376348,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.5771),tensor(3.3994),25.995721578598022,28,tensor(102.9765)
tensor(0.),Val,tensor(116.4419),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(100.6078),tensor(3.5184),25.89352059364319,29,tensor(104.1262)
tensor(0.),Test,tensor(109.6011),9.549150281252633e-05,tensor(1.),tensor(1.),tensor(0.),tensor(0.),tensor(0.),tensor(99.4862),tensor(3.4548),25.89352059364319,29,tensor(102.9410)
