SVI PPL,SVI NLL,SVI REC,LR,AR PPL,VAE KL,Mode,VAE NLL,VAE REC,SVI KL,Epoch Train Time,Epoch,VAE PPL,AR NLL
tensor(1.),tensor(0.),tensor(0.),0.00034549150281252633,tensor(1.),tensor(1.6922),Val,tensor(104.1557),tensor(102.4635),tensor(0.),25.896137952804565,27,tensor(116.5990),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00034549150281252633,tensor(1.),tensor(1.6314),Test,tensor(102.9250),tensor(101.2937),tensor(0.),25.896137952804565,27,tensor(109.5213),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00020610737385376348,tensor(1.),tensor(1.6841),Val,tensor(103.8627),tensor(102.1786),tensor(0.),25.83876943588257,28,tensor(115.0487),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00020610737385376348,tensor(1.),tensor(1.6253),Test,tensor(102.6614),tensor(101.0361),tensor(0.),25.83876943588257,28,tensor(108.2118),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),9.549150281252633e-05,tensor(1.),tensor(1.6807),Val,tensor(103.8968),tensor(102.2160),tensor(0.),25.827571868896484,29,tensor(115.2276),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),9.549150281252633e-05,tensor(1.),tensor(1.6186),Test,tensor(102.6699),tensor(101.0512),tensor(0.),25.827571868896484,29,tensor(108.2535),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),2.4471741852423235e-05,tensor(1.),tensor(1.6766),Val,tensor(103.8712),tensor(102.1947),tensor(0.),25.399073600769043,30,tensor(115.0933),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),2.4471741852423235e-05,tensor(1.),tensor(1.6175),Test,tensor(102.7428),tensor(101.1253),tensor(0.),25.399073600769043,30,tensor(108.6144),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.001,tensor(1.),tensor(5.8359),Val,tensor(105.6643),tensor(99.8284),tensor(0.),25.475622177124023,31,tensor(124.9191),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.001,tensor(1.),tensor(5.8205),Test,tensor(104.5178),tensor(98.6973),tensor(0.),25.475622177124023,31,tensor(117.7768),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009755282581475768,tensor(1.),tensor(4.7575),Val,tensor(104.9119),tensor(100.1545),tensor(0.),25.595330953598022,32,tensor(120.6981),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009755282581475768,tensor(1.),tensor(4.7203),Test,tensor(103.7082),tensor(98.9879),tensor(0.),25.595330953598022,32,tensor(113.5056),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009045084971874737,tensor(1.),tensor(3.8090),Val,tensor(104.5119),tensor(100.7029),tensor(0.),25.610759735107422,33,tensor(118.5120),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0009045084971874737,tensor(1.),tensor(3.7539),Test,tensor(103.3624),tensor(99.6085),tensor(0.),25.610759735107422,33,tensor(111.7289),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0007938926261462366,tensor(1.),tensor(2.7767),Val,tensor(104.1659),tensor(101.3893),tensor(0.),25.787941217422485,34,tensor(116.6535),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0007938926261462366,tensor(1.),tensor(2.7140),Test,tensor(102.9894),tensor(100.2754),tensor(0.),25.787941217422485,34,tensor(109.8435),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0006545084971874737,tensor(1.),tensor(2.2062),Val,tensor(103.9339),tensor(101.7277),tensor(0.),25.540077209472656,35,tensor(115.4233),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0006545084971874737,tensor(1.),tensor(2.1505),Test,tensor(102.7270),tensor(100.5765),tensor(0.),25.540077209472656,35,tensor(108.5359),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0005,tensor(1.),tensor(2.1244),Val,tensor(103.8936),tensor(101.7692),tensor(0.),25.50750160217285,36,tensor(115.2109),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.0005,tensor(1.),tensor(2.0648),Test,tensor(102.6784),tensor(100.6136),tensor(0.),25.50750160217285,36,tensor(108.2958),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00034549150281252633,tensor(1.),tensor(2.0217),Val,tensor(103.7859),tensor(101.7642),tensor(0.),24.216450452804565,37,tensor(114.6455),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00034549150281252633,tensor(1.),tensor(1.9614),Test,tensor(102.5729),tensor(100.6115),tensor(0.),24.216450452804565,37,tensor(107.7756),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00020610737385376348,tensor(1.),tensor(1.9999),Val,tensor(103.8155),tensor(101.8156),tensor(0.),25.263672590255737,38,tensor(114.8007),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),0.00020610737385376348,tensor(1.),tensor(1.9373),Test,tensor(102.5653),tensor(100.6280),tensor(0.),25.263672590255737,38,tensor(107.7384),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),9.549150281252633e-05,tensor(1.),tensor(1.9494),Val,tensor(103.8215),tensor(101.8722),tensor(0.),25.53638219833374,39,tensor(114.8322),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),9.549150281252633e-05,tensor(1.),tensor(1.8891),Test,tensor(102.5608),tensor(100.6718),tensor(0.),25.53638219833374,39,tensor(107.7164),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),2.4471741852423235e-05,tensor(1.),tensor(1.9415),Val,tensor(103.7796),tensor(101.8381),tensor(0.),25.54574227333069,40,tensor(114.6125),tensor(0.)
tensor(1.),tensor(0.),tensor(0.),2.4471741852423235e-05,tensor(1.),tensor(1.8796),Test,tensor(102.5461),tensor(100.6665),tensor(0.),25.54574227333069,40,tensor(107.6439),tensor(0.)
